##[["FCS genome report", 2, 1], {"git-rev": "v0.5.5-9-gfc836c1", "run-date": "Sat Oct 11 22:07:47 2025", "db": {"build-date": "2023-01-24", "seqs": 3025824, "Gbp": 709.264}, "run-info": {"agg-cvg": 0.523371, "asserted-div": "anml:insects", "inferred-primary-divs": ["anml:insects"], "corrected-primary-divs": ["anml:insects"], "genome-hash": "5d500aa9f0d02343"}}]
#seq_id	start_pos	end_pos	seq_len	action	div	agg_cont_cov	top_tax_name
ptg000551l	1	25329	25329	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000552l	1	33469	33469	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000553l	1	32689	32689	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000554l	1	38740	38740	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000555l	1	32616	32616	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000556l	1	33731	33731	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000557l	1	43702	43702	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000571l	1	56061	56061	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Tribolium confusum
ptg000577l	1	57064	57064	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000578l	1	28544	28544	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Spodoptera picta
ptg000584l	1	37185	37185	EXCLUDE	prok:a-proteobacteria	97	Wolbachia endosymbiont (group B) of Ischnura elegans
ptg000587l	1	55824	55824	EXCLUDE	prok:b-proteobacteria	100	Delftia acidovorans
ptg000589l	1	26359	26359	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000594l	1	40022	40022	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Anopheles demeilloni
ptg000595l	1	92228	92228	EXCLUDE	prok:b-proteobacteria	100	Delftia acidovorans
ptg000608l	1	38893	38893	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000609l	1	32012	32012	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000610l	1	40466	40466	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000611l	1	31770	31770	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000612l	1	36247	36247	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000613l	1	35555	35555	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000614l	1	36681	36681	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000615l	1	53525	53525	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000617l	1	35165	35165	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000618l	1	32277	32277	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000622l	1	45191	45191	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000623l	1	41082	41082	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000624l	1	33440	33440	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Ischnura elegans
ptg000625l	1	32370	32370	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000626l	1	41582	41582	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000627l	1	38721	38721	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000628l	1	40347	40347	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Eucosma cana
ptg000629l	1	46727	46727	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000630l	1	32104	32104	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Chorthippus parallelus
ptg000631l	1	39162	39162	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000632l	1	39771	39771	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Melanostoma mellinum
ptg000633l	1	48238	48238	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000634l	1	38917	38917	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000635l	1	34827	34827	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000643l	1	37017	37017	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000647l	1	69900	69900	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000648l	1	48793	48793	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000649l	1	26757	26757	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Anopheles demeilloni
ptg000650l	1	45734	45734	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000651l	1	49124	49124	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000652l	1	42294	42294	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Drosophila mauritiana
ptg000653l	1	43806	43806	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Spodoptera picta
ptg000654l	1	32268	32268	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Eucosma cana
ptg000655l	1	50356	50356	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont (group B) of Ischnura elegans
ptg000656l	1	31747	31747	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Spodoptera picta
ptg000658l	1	43433	43433	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Homalodisca vitripennis
ptg000659l	1	43942	43942	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000660l	1	31662	31662	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Ischnura elegans
ptg000661l	1	25930	25930	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Chorthippus parallelus
ptg000662l	1	31992	31992	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Chorthippus parallelus
ptg000663l	1	41848	41848	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Spodoptera picta
ptg000664l	1	28772	28772	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Spodoptera picta
ptg000665l	1	32757	32757	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000666l	1	33368	33368	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Eucosma cana
ptg000667l	1	49122	49122	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000668l	1	48698	48698	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Phalera bucephala
ptg000669l	1	54106	54106	EXCLUDE	prok:a-proteobacteria	96	Wolbachia endosymbiont of Tribolium confusum
ptg000670l	1	30699	30699	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000671l	1	29555	29555	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Ischnura elegans
ptg000672l	1	35748	35748	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000673l	1	51281	51281	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Chorthippus parallelus
ptg000674l	1	36233	36233	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Anopheles demeilloni
ptg000675l	1	21221	21221	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000676l	1	55382	55382	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000677l	1	60970	60970	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Tribolium confusum
ptg000678l	1	31274	31274	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000679l	1	38778	38778	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont (group B) of Melanostoma mellinum
ptg000680l	1	30812	30812	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000681l	1	44362	44362	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Chorthippus parallelus
ptg000682l	1	53356	53356	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Chorthippus parallelus
ptg000683l	1	47280	47280	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Anopheles demeilloni
ptg000684l	1	35130	35130	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000685l	1	57317	57317	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000686l	1	38731	38731	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Anopheles demeilloni
ptg000687l	1	39650	39650	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Tribolium confusum
ptg000688l	1	33613	33613	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000689l	1	50289	50289	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000690l	1	43300	43300	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Anopheles demeilloni
ptg000691l	1	64923	64923	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Tribolium confusum
ptg000692l	1	42557	42557	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Anopheles demeilloni
ptg000693l	1	33837	33837	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Erebia ligea
ptg000694l	1	45023	45023	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000695l	1	34139	34139	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000696l	1	45046	45046	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Ischnura elegans
ptg000697l	1	33281	33281	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Homalodisca vitripennis
ptg000698l	1	46564	46564	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000699l	1	50752	50752	EXCLUDE	prok:a-proteobacteria	97	Wolbachia endosymbiont (group B) of Erebia ligea
ptg000700l	1	30514	30514	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Ischnura elegans
ptg000701l	1	36241	36241	EXCLUDE	prok:a-proteobacteria	97	Wolbachia endosymbiont of Tribolium confusum
ptg000702l	1	38161	38161	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Tribolium confusum
ptg000703l	1	43222	43222	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Tribolium confusum
ptg000704l	1	29007	29007	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Diaphorina citri
ptg000705l	1	52986	52986	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Nilaparvata lugens
ptg000706l	1	31169	31169	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Diaphorina citri
ptg000707l	1	28804	28804	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Tribolium confusum
ptg000708l	1	43841	43841	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Ischnura elegans
ptg000709l	1	38661	38661	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Tribolium confusum
ptg000710l	1	27118	27118	EXCLUDE	prok:a-proteobacteria	97	Wolbachia endosymbiont (group B) of Melanostoma mellinum
ptg000711l	1	28194	28194	EXCLUDE	prok:a-proteobacteria	97	Wolbachia endosymbiont of Tribolium confusum
ptg000712l	1	68059	68059	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000713l	1	41466	41466	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Anopheles demeilloni
ptg000714l	1	31584	31584	EXCLUDE	prok:a-proteobacteria	91	Wolbachia endosymbiont of Tribolium confusum
ptg000715l	1	63560	63560	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Chorthippus parallelus
ptg000716l	1	31713	31713	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000717l	1	41552	41552	EXCLUDE	prok:a-proteobacteria	97	Wolbachia endosymbiont of Tribolium confusum
ptg000718l	1	50718	50718	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000719l	1	36366	36366	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000720l	1	18185	18185	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000721l	1	32142	32142	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Ischnura elegans
ptg000722l	1	32860	32860	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Ischnura elegans
ptg000723l	1	33328	33328	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000724l	1	29922	29922	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Chorthippus parallelus
ptg000725l	1	32538	32538	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Anopheles demeilloni
ptg000726l	1	25504	25504	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Drosophila mauritiana
ptg000727l	1	37514	37514	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000728l	1	33721	33721	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000729l	1	39336	39336	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000730l	1	66338	66338	EXCLUDE	prok:a-proteobacteria	96	Wolbachia endosymbiont (group B) of Erebia ligea
ptg000731l	1	30171	30171	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Ischnura elegans
ptg000732l	1	29780	29780	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Nilaparvata lugens
ptg000733l	1	54842	54842	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000734l	1	28717	28717	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Eucosma cana
ptg000735l	1	67623	67623	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Chorthippus parallelus
ptg000736l	1	45782	45782	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Anopheles demeilloni
ptg000737l	1	40400	40400	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
