##[["GX taxonomy analysis report", 3, 1], {"git-rev": "v0.5.5-9-gfc836c1", "run-date": "Sat Oct 11 22:07:47 2025", "db": {"build-date": "2023-01-24", "seqs": 3025824, "Gbp": 709.264}, "run-info": {"agg-cvg": 0.523371, "asserted-div": "anml:insects", "inferred-primary-divs": ["anml:insects"], "corrected-primary-divs": ["anml:insects"], "genome-hash": "5d500aa9f0d02343"}}]
#seq-id	seq-len	(xp,lc,co,n,mt,pt,pm)-len	cvg-by-all	sep1	tax-name-1	tax-id-1	div-1	cvg-by-div-1	cvg-by-tax-1	score-1	sep2	tax-id-2	div-2	cvg-by-div-2	cvg-by-tax-2	score-2	sep3	tax-id-3	div-3	cvg-by-div-3	cvg-by-tax-3	score-3	sep4	tax-id-4	div-4	cvg-by-div-4	cvg-by-tax-4	score-4	sep5	reserved	result	div	div_pct_cvg
ptg000011l	10090531	2711853,405862,9340,0,0,0,0	5269202	|	Teleogryllus occipitalis	470939	anml:insects	5056035	4864997	6946	|	431949	anml:insects	5056035	141218	677	|	6087	anml:basal metazoans	29448	24893	272	|	27405	anml:crustaceans	142708	29156	257	|	n/a	primary-div	anml:insects	50
ptg000012l	5258274	999439,206722,280,0,0,0,0	3445001	|	Teleogryllus occipitalis	470939	anml:insects	3365375	3307718	6053	|	105785	anml:insects	3365375	19546	253	|	95602	anml:crustaceans	51082	14580	180	|	8030	anml:fishes	59204	21881	174	|	n/a	primary-div	anml:insects	64
ptg000013l	1007694	272447,79149,520,0,0,0,0	338851	|	Teleogryllus occipitalis	470939	anml:insects	309031	280280	1467	|	108931	anml:insects	309031	7563	390	|	215358	anml:fishes	6605	2248	83	|	6728	anml:crustaceans	7618	5284	81	|	n/a	primary-div	anml:insects	31
ptg000014l	10892523	1719070,787783,17100,0,0,0,0	7106635	|	Teleogryllus occipitalis	470939	anml:insects	6867871	6776326	8427	|	441921	anml:insects	6867871	13337	524	|	6728	anml:crustaceans	135324	44357	299	|	13397	anml:fishes	146156	47810	278	|	n/a	primary-div	anml:insects	63
ptg000015l	2683078	496921,324279,2300,0,0,0,0	1706017	|	Teleogryllus occipitalis	470939	anml:insects	1628369	1611801	4015	|	1041015	anml:insects	1628369	3326	226	|	6087	anml:basal metazoans	12259	8345	131	|	6526	anml:molluscs	29984	9883	110	|	n/a	primary-div	anml:insects	61
ptg000016l~~1..657777	657777	86693,32728,1220,0,0,0,0	428359	|	Teleogryllus occipitalis	470939	anml:insects	414984	401337	2192	|	136037	anml:insects	414984	21108	266	|	27405	anml:crustaceans	16668	6014	105	|	6728	anml:crustaceans	16668	3595	91	|	n/a	primary-div	anml:insects	63
ptg000016l~~657778..661013	3236	265,0,0,0,0,0,0	2856	|	Teleogryllus occipitalis	470939	anml:insects	1164	1124	110	|	7757	anml:fishes	2148	2148	82	|	7396	anml:insects	1164	40	7	|						|	n/a	primary-div	anml:insects	36
ptg000016l~~661014..15875587	15214574	3612160,804638,12900,0,0,0,0	8260089	|	Teleogryllus occipitalis	470939	anml:insects	7861596	7620382	8453	|	105785	anml:insects	7861596	113332	560	|	13397	anml:fishes	189778	56893	270	|	6728	anml:crustaceans	158503	45053	257	|	n/a	primary-div	anml:insects	52
ptg000017l	4041517	860950,182320,2440,0,0,0,0	2419680	|	Teleogryllus occipitalis	470939	anml:insects	2344124	2272471	4787	|	431949	anml:insects	2344124	47500	392	|	8030	anml:fishes	53550	21068	162	|	6728	anml:crustaceans	49688	16659	161	|	n/a	primary-div	anml:insects	58
ptg000018l	8572969	1895274,509894,11060,0,0,0,0	4426067	|	Teleogryllus occipitalis	470939	anml:insects	4156518	4046594	5860	|	136037	anml:insects	4156518	26487	272	|	95602	anml:crustaceans	101764	24679	237	|	8364	anml:amphibians	27856	10378	231	|	n/a	primary-div	anml:insects	48
ptg000019l~~1..4622170	4622170	2543688,133142,3100,0,0,0,0	1127492	|	Teleogryllus occipitalis	470939	anml:insects	981662	835933	2470	|	431949	anml:insects	981662	65324	539	|	27405	anml:crustaceans	51590	21679	291	|	6728	anml:crustaceans	51590	22784	202	|	n/a	repeat	anml:insects	21
ptg000019l~~4622171..4624402	2232	0,0,0,0,0,0,0	2114	|	Geotrypetes seraphini	260995	anml:amphibians	1914	1914	140	|	94885	anml:reptiles	2058	1489	135	|	35005	anml:reptiles	2058	1381	118	|	27687	anml:fishes	976	976	115	|	n/a	inconclusive	anml:amphibians	86
ptg000019l~~4624403..8298455	3674053	1015573,300701,8740,0,0,0,0	1704306	|	Teleogryllus occipitalis	470939	anml:insects	1570674	1513727	3559	|	136037	anml:insects	1570674	17041	233	|	27405	anml:crustaceans	66488	11594	165	|	27687	anml:fishes	64136	7901	159	|	n/a	primary-div	anml:insects	43
ptg000020l	3573324	2553005,104692,0,0,0,0,0	496785	|	Teleogryllus occipitalis	470939	anml:insects	405054	394930	1617	|	170555	anml:insects	405054	7667	130	|	27405	anml:crustaceans	15596	3368	113	|	8049	anml:fishes	19548	8156	110	|	n/a	repeat	anml:insects	11
ptg000021l	6856792	1581176,407545,10560,0,0,0,0	3627221	|	Teleogryllus occipitalis	470939	anml:insects	3440068	3363807	5535	|	105785	anml:insects	3440068	29774	302	|	6728	anml:crustaceans	83456	22375	202	|	6706	anml:crustaceans	83456	17634	174	|	n/a	primary-div	anml:insects	50
ptg000022l~~1..3242222	3242222	856031,221977,8560,0,0,0,0	1458086	|	Teleogryllus occipitalis	470939	anml:insects	1347565	1298570	3289	|	105785	anml:insects	1347565	21679	249	|	41117	anml:crustaceans	37503	5844	151	|	396692	anml:rotifers	11824	8294	134	|	n/a	primary-div	anml:insects	42
ptg000022l~~3242223..3246391	4169	1566,0,0,0,0,0,0	4136	|	Carcharodon carcharias	13397	anml:fishes	4114	4102	73	|	983330	fung:ascomycetes	663	457	24	|	33562	anml:marsupials	449	449	23	|	117547	fung:ascomycetes	663	206	15	|	n/a	inconclusive	anml:fishes	99
ptg000022l~~3246392..5156768	1910377	654733,48481,1220,0,0,0,0	682846	|	Teleogryllus occipitalis	470939	anml:insects	627926	591290	1903	|	7217	anml:insects	627926	9391	221	|	931100	prok:a-proteobacteria	12812	7669	135	|	2953978	prok:a-proteobacteria	12812	1472	105	|	n/a	repeat	anml:insects	33
ptg000023l	3274926	927819,108096,3300,0,0,0,0	1707944	|	Teleogryllus occipitalis	470939	anml:insects	1639548	1587920	3921	|	136037	anml:insects	1639548	35990	356	|	34573	anml:molluscs	40608	7938	136	|	6579	anml:molluscs	40608	8404	104	|	n/a	primary-div	anml:insects	50
ptg000024l	9611035	2132908,565353,9100,0,0,0,0	5381609	|	Teleogryllus occipitalis	470939	anml:insects	5125215	5002864	7453	|	136037	anml:insects	5125215	56726	474	|	27405	anml:crustaceans	115688	29101	249	|	34573	anml:molluscs	99824	19549	200	|	n/a	primary-div	anml:insects	53
ptg000025l	1498722	295942,71555,1900,0,0,0,0	944292	|	Teleogryllus occipitalis	470939	anml:insects	915948	889195	3042	|	431949	anml:insects	915948	11019	198	|	1232801	anml:crustaceans	12726	4177	94	|	6526	anml:molluscs	11535	3519	93	|	n/a	primary-div	anml:insects	61
ptg000026l	1993505	301662,101955,1080,0,0,0,0	1259611	|	Teleogryllus occipitalis	470939	anml:insects	1223783	1202356	3393	|	105785	anml:insects	1223783	18078	235	|	13397	anml:fishes	40027	9664	114	|	35525	anml:crustaceans	18405	3948	103	|	n/a	primary-div	anml:insects	61
ptg000027l~~1..11840122	11840122	2852853,416112,6240,0,0,0,0	6708134	|	Teleogryllus occipitalis	470939	anml:insects	6454835	6316295	8125	|	431949	anml:insects	6454835	61952	494	|	27405	anml:crustaceans	94193	12045	197	|	6728	anml:crustaceans	94193	24436	194	|	n/a	primary-div	anml:insects	55
ptg000027l~~11840123..11842247	2125	0,0,0,0,0,0,0	1736	|	Lacerta agilis	80427	anml:reptiles	1309	1202	110	|	94885	anml:reptiles	1309	883	105	|	470939	anml:insects	669	427	47	|	2921223	anml:insects	669	242	17	|	n/a	inconclusive	anml:reptiles	62
ptg000027l~~11842248..13361980	1519733	666845,48349,0,0,0,0,0	701103	|	Teleogryllus occipitalis	470939	anml:insects	665755	603226	2301	|	32391	anml:insects	665755	22268	537	|	146911	anml:reptiles	9202	4179	102	|	34573	anml:molluscs	10262	3427	101	|	n/a	repeat	anml:insects	44
ptg000028l	10324939	2383124,741387,9260,0,0,0,0	5359844	|	Teleogryllus occipitalis	470939	anml:insects	5050358	4958531	6499	|	108931	anml:insects	5050358	11526	417	|	13397	anml:fishes	177609	59128	283	|	6728	anml:crustaceans	106520	28106	228	|	n/a	primary-div	anml:insects	49
ptg000029l~~1..9391910	9391910	1861788,608858,8200,0,0,0,0	5537053	|	Teleogryllus occipitalis	470939	anml:insects	5277499	5187572	7733	|	431949	anml:insects	5277499	40079	394	|	95602	anml:crustaceans	119078	28582	228	|	6706	anml:crustaceans	119078	29604	212	|	n/a	primary-div	anml:insects	56
ptg000029l~~9391911..9394907	2997	224,0,0,0,0,0,0	2011	|	Strongyloides papillosus	174720	anml:nematodes	1906	1681	130	|	75913	anml:nematodes	1906	727	61	|	2943436	anml:tardigrades	215	215	16	|	30611	anml:primates	105	105	11	|	n/a	same-kingdom-chimeric	anml:nematodes	64
ptg000029l~~9394908..9589526	194619	33625,9171,360,0,0,0,0	114006	|	Teleogryllus occipitalis	470939	anml:insects	108231	96585	1213	|	136037	anml:insects	108231	9934	204	|	35525	anml:crustaceans	4038	3745	84	|	1529436	anml:echinoderms	4504	2906	80	|	n/a	primary-div	anml:insects	56
ptg000030l	4716598	1076489,203820,4500,0,0,0,0	2513576	|	Teleogryllus occipitalis	470939	anml:insects	2393471	2305481	4546	|	431949	anml:insects	2393471	27372	325	|	6706	anml:crustaceans	62914	18385	168	|	294128	anml:crustaceans	62914	3664	156	|	n/a	primary-div	anml:insects	51
ptg000031l	11418838	2164483,534015,7140,0,0,0,0	7539869	|	Teleogryllus occipitalis	470939	anml:insects	7299687	7212414	9699	|	136037	anml:insects	7299687	65526	469	|	6706	anml:crustaceans	123880	39016	249	|	13397	anml:fishes	200509	48480	248	|	n/a	primary-div	anml:insects	64
ptg000032l	8065905	1707481,526673,7120,0,0,0,0	4750546	|	Teleogryllus occipitalis	470939	anml:insects	4531789	4452217	6595	|	108931	anml:insects	4531789	12677	443	|	27405	anml:crustaceans	115534	21672	216	|	13397	anml:fishes	100692	31464	209	|	n/a	primary-div	anml:insects	56
ptg000033l~~1..9634752	9634752	1502174,469167,13360,0,0,0,0	7008789	|	Teleogryllus occipitalis	470939	anml:insects	6836676	6773200	9407	|	105785	anml:insects	6836676	51592	428	|	27405	anml:crustaceans	131459	32367	222	|	6579	anml:molluscs	112141	24200	210	|	n/a	primary-div	anml:insects	71
ptg000033l~~9634753..9639213	4461	1817,0,0,0,0,0,0	4373	|	Procambarus clarkii	6728	anml:crustaceans	4363	4294	75	|	2743191	anml:echinoderms	2111	2111	49	|	470939	anml:insects	566	516	33	|	41117	anml:crustaceans	4363	461	25	|	n/a	same-kingdom-chimeric	anml:crustaceans	98
ptg000033l~~9639214..9640203	990	990,0,0,0,0,0,0	977	|	Procambarus clarkii	6728	anml:crustaceans	977	977	38	|						|						|						|	n/a	repeat	anml:crustaceans	99
ptg000033l~~9640204..9642346	2143	429,0,0,0,0,0,0	1518	|	Procambarus clarkii	6728	anml:crustaceans	1466	1466	44	|	8407	anml:amphibians	282	282	24	|	2743191	anml:echinoderms	52	52	6	|						|	n/a	same-kingdom-chimeric	anml:crustaceans	68
ptg000033l~~9642347..14270734	4628388	918665,177023,4900,0,0,0,0	2975909	|	Teleogryllus occipitalis	470939	anml:insects	2853542	2819951	5721	|	105785	anml:insects	2853542	23989	270	|	6728	anml:crustaceans	70130	21293	180	|	95602	anml:crustaceans	70130	15209	174	|	n/a	primary-div	anml:insects	62
ptg000034l	7254917	1466006,446775,12400,0,0,0,0	4190428	|	Teleogryllus occipitalis	470939	anml:insects	4010180	3909674	6226	|	105785	anml:insects	4010180	59465	427	|	6706	anml:crustaceans	81581	35729	222	|	13397	anml:fishes	111078	30840	204	|	n/a	primary-div	anml:insects	55
ptg000035l	6749670	2289067,412951,14360,0,0,0,0	2624890	|	Teleogryllus occipitalis	470939	anml:insects	2364662	2300266	4280	|	431949	anml:insects	2364662	16183	355	|	1052528	anml:nematodes	70438	16175	210	|	8049	anml:fishes	99196	14315	169	|	n/a	primary-div	anml:insects	35
ptg000036l	23438023	5008704,868051,8680,0,0,0,0	15034398	|	Teleogryllus occipitalis	470939	anml:insects	14588386	14370288	13482	|	108931	anml:insects	14588386	37002	572	|	6728	anml:crustaceans	214850	55474	291	|	8030	anml:fishes	280282	64059	286	|	n/a	primary-div	anml:insects	62
ptg000037l	4230359	619836,156584,660,0,0,0,0	2840322	|	Teleogryllus occipitalis	470939	anml:insects	2769106	2739573	5828	|	136037	anml:insects	2769106	8565	233	|	6454	anml:molluscs	49365	15392	140	|	6579	anml:molluscs	49365	10984	116	|	n/a	primary-div	anml:insects	65
ptg000038l	21209191	4317588,1361287,23640,0,0,0,0	12624578	|	Teleogryllus occipitalis	470939	anml:insects	12065877	11887727	11042	|	136037	anml:insects	12065877	86776	561	|	6706	anml:crustaceans	290613	68279	330	|	13397	anml:fishes	302710	66617	304	|	n/a	primary-div	anml:insects	57
ptg000039l	8780708	1952236,480550,5020,0,0,0,0	4787422	|	Teleogryllus occipitalis	470939	anml:insects	4557536	4481682	6251	|	431949	anml:insects	4557536	35482	330	|	6728	anml:crustaceans	98117	44764	268	|	13397	anml:fishes	118816	31370	198	|	n/a	primary-div	anml:insects	52
ptg000040l	888915	146775,33530,620,0,0,0,0	597734	|	Teleogryllus occipitalis	470939	anml:insects	581487	559606	2589	|	105785	anml:insects	581487	15734	216	|	6687	anml:crustaceans	15650	7513	120	|	6706	anml:crustaceans	15650	5348	110	|	n/a	primary-div	anml:insects	65
ptg000041l	2525358	417415,246971,3680,0,0,0,0	1434835	|	Teleogryllus occipitalis	470939	anml:insects	1342684	1316610	3185	|	13397	anml:fishes	63535	28006	188	|	6579	anml:molluscs	27553	11742	137	|	6687	anml:crustaceans	39021	8606	134	|	n/a	primary-div	anml:insects	53
ptg000042l	2947878	735082,205842,4300,0,0,0,0	1415287	|	Teleogryllus occipitalis	470939	anml:insects	1338713	1285893	3513	|	105785	anml:insects	1338713	45174	378	|	96803	anml:crustaceans	39636	6539	230	|	41117	anml:crustaceans	39636	4021	169	|	n/a	primary-div	anml:insects	45
ptg000043l	2373424	399468,143120,1160,0,0,0,0	1570917	|	Teleogryllus occipitalis	470939	anml:insects	1516407	1496571	4051	|	108931	anml:insects	1516407	8724	252	|	348617	fung:fungi	5530	3271	139	|	210409	anml:crustaceans	32332	6855	128	|	n/a	primary-div	anml:insects	64
ptg000044l	6089616	1325943,316812,11840,0,0,0,0	3467767	|	Teleogryllus occipitalis	470939	anml:insects	3302799	3203165	5744	|	136037	anml:insects	3302799	73941	461	|	210409	anml:crustaceans	127278	23779	214	|	6687	anml:crustaceans	127278	17669	207	|	n/a	primary-div	anml:insects	54
ptg000045l~~1..690562	690562	196078,23614,380,0,0,0,0	252468	|	Teleogryllus occipitalis	470939	anml:insects	220721	209514	1178	|	8030	anml:fishes	9996	6668	150	|	143995	anml:insects	220721	4500	117	|	1276220	prok:mycoplasmas	5876	5876	88	|	n/a	primary-div	anml:insects	32
ptg000045l~~690563..692623	2061	405,0,0,0,0,0,0	1660	|	Microglena sp. YARC	2904290	plnt:green algae	1467	1467	43	|	7994	anml:fishes	1167	1072	39	|	109293	anml:fishes	1167	643	27	|	6412	anml:worms	364	364	21	|	n/a	inconclusive	plnt:green algae	71
ptg000045l~~692624..7054385	6361762	1336300,433581,4800,0,0,0,0	3570434	|	Teleogryllus occipitalis	470939	anml:insects	3400094	3341635	5834	|	108931	anml:insects	3400094	7745	399	|	13397	anml:fishes	101633	33216	203	|	8407	anml:amphibians	27467	16386	175	|	n/a	primary-div	anml:insects	53
ptg000046l	11653511	2720740,526707,4760,0,0,0,0	6527917	|	Teleogryllus occipitalis	470939	anml:insects	6255823	6127316	7615	|	431949	anml:insects	6255823	50918	422	|	95602	anml:crustaceans	105309	30132	216	|	6706	anml:crustaceans	105309	29884	204	|	n/a	primary-div	anml:insects	54
ptg000047l~~1..11596108	11596108	2671364,749028,6620,0,0,0,0	6582794	|	Teleogryllus occipitalis	470939	anml:insects	6277874	6203160	8116	|	136037	anml:insects	6277874	59492	421	|	6728	anml:crustaceans	165352	45856	249	|	95602	anml:crustaceans	165352	32978	245	|	n/a	primary-div	anml:insects	54
ptg000047l~~11596109..11598586	2478	874,0,0,0,0,0,0	2050	|	Meloidogyne exigua	186942	anml:nematodes	2050	2050	56	|	22663	plnt:plants	332	332	20	|						|						|	n/a	same-kingdom-chimeric	anml:nematodes	83
ptg000047l~~11598587..15483773	3885187	809512,258363,4760,0,0,0,0	2362399	|	Teleogryllus occipitalis	470939	anml:insects	2247432	2223647	4680	|	8030	anml:fishes	83069	15644	149	|	170555	anml:insects	2247432	7809	148	|	7757	anml:fishes	83069	16268	144	|	n/a	primary-div	anml:insects	58
ptg000048l	9408565	1700289,471725,8000,0,0,0,0	6313349	|	Teleogryllus occipitalis	470939	anml:insects	6152802	6035211	8885	|	136037	anml:insects	6152802	58389	434	|	6706	anml:crustaceans	131437	40182	242	|	6728	anml:crustaceans	131437	29574	232	|	n/a	primary-div	anml:insects	65
ptg000049l	7595719	2412438,313205,7640,0,0,0,0	3875555	|	Teleogryllus occipitalis	470939	anml:insects	3699828	3555066	5939	|	32391	anml:insects	3699828	27564	432	|	96803	anml:crustaceans	90120	14769	339	|	34573	anml:molluscs	56282	17508	215	|	n/a	primary-div	anml:insects	49
ptg000050l	6918644	1342603,309044,3440,0,0,0,0	4680005	|	Teleogryllus occipitalis	470939	anml:insects	4554137	4498557	7827	|	431949	anml:insects	4554137	29940	331	|	6728	anml:crustaceans	85918	21924	202	|	6454	anml:molluscs	66973	24400	186	|	n/a	primary-div	anml:insects	66
ptg000051l	4612449	1034717,293103,2780,0,0,0,0	2887823	|	Teleogryllus occipitalis	470939	anml:insects	2783316	2746092	5759	|	105785	anml:insects	2783316	11250	213	|	6728	anml:crustaceans	41556	24244	172	|	7994	anml:fishes	51199	9633	116	|	n/a	primary-div	anml:insects	60
ptg000052l	4325139	1311412,138582,2000,0,0,0,0	2140483	|	Teleogryllus occipitalis	470939	anml:insects	2035821	1984015	4041	|	6687	anml:crustaceans	35909	10369	185	|	96803	anml:crustaceans	35909	5993	177	|	170555	anml:insects	2035821	9996	162	|	n/a	primary-div	anml:insects	47
ptg000053l	3056470	732902,206401,1980,0,0,0,0	1598562	|	Teleogryllus occipitalis	470939	anml:insects	1481868	1460615	3595	|	27405	anml:crustaceans	76564	13606	196	|	6687	anml:crustaceans	76564	8358	167	|	431949	anml:insects	1481868	6200	158	|	n/a	primary-div	anml:insects	48
ptg000054l	2093668	456493,95514,620,0,0,0,0	1173498	|	Teleogryllus occipitalis	470939	anml:insects	1132449	1117451	3483	|	105785	anml:insects	1132449	9798	161	|	13397	anml:fishes	25751	4908	79	|	6728	anml:crustaceans	12039	4079	70	|	n/a	primary-div	anml:insects	54
ptg000055l~~1..3175754	3175754	1056392,96191,600,0,0,0,0	1246083	|	Teleogryllus occipitalis	470939	anml:insects	1127420	1076922	2806	|	197161	anml:insects	1127420	23041	366	|	2769078	prok:a-proteobacteria	17778	8154	154	|	96803	anml:crustaceans	14626	5376	142	|	n/a	primary-div	anml:insects	36
ptg000055l~~3175755..3179198	3444	224,125,0,0,0,0,0	3048	|	Wolbachia endosymbiont (group B) of Chorthippus parallelus	2953997	prok:a-proteobacteria	3048	2174	160	|	2954053	prok:a-proteobacteria	3048	2490	157	|	197161	anml:insects	1176	1159	98	|	949124	virs:prokaryotic viruses	1183	1183	64	|	n/a	contaminant(div)	prok:a-proteobacteria	89
ptg000055l~~3179199..7372523	4193325	1228841,173619,3900,0,0,0,0	1876994	|	Teleogryllus occipitalis	470939	anml:insects	1730982	1668792	3549	|	431949	anml:insects	1730982	12987	276	|	13397	anml:fishes	66113	22460	168	|	6706	anml:crustaceans	48940	12579	160	|	n/a	primary-div	anml:insects	41
ptg000056l	7013030	1531799,375293,6680,0,0,0,0	4008638	|	Teleogryllus occipitalis	470939	anml:insects	3828105	3751413	5946	|	431949	anml:insects	3828105	24001	330	|	95602	anml:crustaceans	100004	25381	204	|	27405	anml:crustaceans	100004	13272	186	|	n/a	primary-div	anml:insects	55
ptg000057l	1172393	211572,141537,0,0,0,0,0	577366	|	Teleogryllus occipitalis	470939	anml:insects	555740	530104	2374	|	2065413	anml:insects	555740	16351	243	|	35525	anml:crustaceans	14759	4987	103	|	6687	anml:crustaceans	14759	4730	83	|	n/a	primary-div	anml:insects	47
ptg000058l	7971536	1509595,359321,5680,0,0,0,0	5223977	|	Teleogryllus occipitalis	470939	anml:insects	5065202	4985661	7408	|	431949	anml:insects	5065202	38831	403	|	6706	anml:crustaceans	102896	23475	210	|	6728	anml:crustaceans	102896	24563	191	|	n/a	primary-div	anml:insects	64
ptg000059l	2621541	688814,96450,5780,0,0,0,0	1391784	|	Teleogryllus occipitalis	470939	anml:insects	1319720	1278196	3444	|	431949	anml:insects	1319720	16225	263	|	7906	anml:fishes	27556	5667	153	|	396692	anml:rotifers	12669	8665	151	|	n/a	primary-div	anml:insects	50
ptg000060l	4438549	895381,270574,3600,0,0,0,0	2671954	|	Teleogryllus occipitalis	470939	anml:insects	2576360	2533669	5160	|	431949	anml:insects	2576360	26720	291	|	6706	anml:crustaceans	46282	20543	206	|	13397	anml:fishes	50768	16898	146	|	n/a	primary-div	anml:insects	58
ptg000061l	10972783	2055648,747991,9780,0,0,0,0	7093833	|	Teleogryllus occipitalis	470939	anml:insects	6833790	6748567	8985	|	431949	anml:insects	6833790	48703	370	|	13397	anml:fishes	154146	42525	243	|	6728	anml:crustaceans	144915	33006	222	|	n/a	primary-div	anml:insects	62
ptg000062l	11941786	2521440,917836,13920,0,0,0,0	6646693	|	Teleogryllus occipitalis	470939	anml:insects	6291981	6169076	7499	|	136037	anml:insects	6291981	79723	519	|	13397	anml:fishes	205251	66720	304	|	27405	anml:crustaceans	186655	29785	280	|	n/a	primary-div	anml:insects	53
ptg000063l	1176563	222039,49736,260,0,0,0,0	777413	|	Teleogryllus occipitalis	470939	anml:insects	756161	752140	2774	|	197043	anml:insects	756161	6671	111	|	13397	anml:fishes	18833	8185	99	|	9986	anml:rodents	2904	2767	79	|	n/a	primary-div	anml:insects	64
ptg000064l~~1..7909921	7909921	1736140,397620,3500,0,0,0,0	4611096	|	Teleogryllus occipitalis	470939	anml:insects	4438408	4366394	6640	|	108931	anml:insects	4438408	6537	343	|	8030	anml:fishes	122470	23917	197	|	13397	anml:fishes	122470	29593	192	|	n/a	primary-div	anml:insects	56
ptg000064l~~7909922..7912153	2232	0,0,0,0,0,0,0	1828	|	Eriocheir sinensis	95602	anml:crustaceans	1774	1774	94	|	470939	anml:insects	574	451	66	|	218467	anml:insects	574	123	11	|	89674	plnt:plants	54	54	6	|	n/a	same-kingdom-chimeric	anml:crustaceans	79
ptg000064l~~7912154..13577822	5665669	1284587,293736,2900,0,0,0,0	3165686	|	Teleogryllus occipitalis	470939	anml:insects	3026556	2987249	5666	|	108931	anml:insects	3026556	10464	367	|	95602	anml:crustaceans	81546	22416	191	|	6728	anml:crustaceans	81546	22168	178	|	n/a	primary-div	anml:insects	53
ptg000065l	8856372	2571420,476312,6220,0,0,0,0	3988434	|	Teleogryllus occipitalis	470939	anml:insects	3751060	3599774	5679	|	13686	anml:insects	3751060	36908	431	|	6728	anml:crustaceans	58716	26900	203	|	13397	anml:fishes	118661	18129	151	|	n/a	primary-div	anml:insects	42
